date,open,close,high,low,volume,amount,pct_change,turnover
2022-01-04,57.16,54.1,57.4,53.75,206735,2333429424.0,-2.92,3.01
2022-01-05,53.35,50.75,53.39,50.48,195548,2076011648.0,-6.19,2.85
2022-01-06,50.42,50.8,51.31,49.85,125663,1315549200.0,0.1,1.83
2022-01-07,50.68,51.13,52.04,49.86,157980,1661822592.0,0.65,2.3
2022-01-10,51.03,50.12,51.34,49.4,146262,1518902208.0,-1.98,2.13
2022-01-11,50.34,48.9,51.22,48.45,143484,1470932752.0,-2.43,2.09
2022-01-12,50.15,51.0,51.2,49.8,173335,1811630048.0,4.29,2.53
2022-01-13,51.0,49.88,51.11,49.75,103733,1075472224.0,-2.2,1.51
2022-01-14,49.16,51.07,51.7,49.16,127177,1330325152.0,2.39,1.85
2022-01-17,50.5,51.69,52.43,50.41,143617,1521597376.0,1.21,2.09
2022-01-18,50.9,48.08,50.9,47.29,386326,3872694752.0,-6.98,5.63
2022-01-19,48.15,46.02,48.26,45.55,239912,2300675920.0,-4.28,3.5
2022-01-20,46.02,46.27,46.8,45.57,159230,1523949792.0,0.54,2.32
2022-01-21,45.79,47.23,48.23,45.59,146560,1433417680.0,2.07,2.14
2022-01-24,46.9,48.9,49.73,46.49,143792,1440770768.0,3.54,2.1
2022-01-25,48.92,47.83,49.85,47.73,108228,1090420288.0,-2.19,1.58
2022-01-26,47.83,47.44,48.83,46.9,74558,735246272.0,-0.82,1.09
2022-01-27,47.95,46.94,49.1,46.9,123440,1226932720.0,-1.05,1.8
2022-01-28,47.15,45.51,47.9,44.99,121666,1162211600.0,-3.05,1.77
2022-02-07,46.9,46.98,48.5,46.08,120037,1170582880.0,3.23,1.75
2022-02-08,46.66,44.32,46.9,43.41,130310,1198853824.0,-5.66,1.9
2022-02-09,44.63,44.39,44.67,42.75,127169,1154687456.0,0.16,1.85
2022-02-10,44.8,43.15,44.86,42.76,104590,936420832.0,-2.79,1.52
2022-02-11,42.8,41.9,43.9,41.77,154106,1364062288.0,-2.9,2.25
2022-02-14,41.75,42.0,42.78,41.41,113581,989676272.0,0.24,1.65
2022-02-15,41.97,43.95,44.0,41.97,156677,1406354688.0,4.64,2.28
2022-02-16,44.35,43.67,44.35,42.98,96140,871069232.0,-0.64,1.4
2022-02-17,43.67,46.86,47.9,43.26,238461,2281384848.0,7.3,3.47
2022-02-18,46.84,45.4,46.91,45.2,150407,1427079184.0,-3.12,2.19
2022-02-21,45.6,45.47,46.14,44.84,110605,1038191072.0,0.15,1.61
2022-02-22,45.2,45.89,46.33,44.56,141100,1330261744.0,0.92,2.06
2022-02-23,45.78,48.23,48.99,45.67,217025,2146490096.0,5.1,3.16
2022-02-24,47.9,48.69,50.13,47.55,254186,2572155216.0,0.95,3.7
2022-02-25,49.51,49.21,50.16,48.77,150322,1531705728.0,1.07,2.19
2022-02-28,49.39,51.5,51.8,48.91,213029,2236878768.0,4.65,3.1
2022-03-01,52.15,51.05,52.52,50.14,195713,2069547120.0,-0.87,2.85
2022-03-02,50.53,48.22,50.84,47.64,211738,2120131696.0,-5.54,3.09
2022-03-03,48.15,48.24,48.71,47.19,138589,1381882544.0,0.04,2.02
2022-03-04,46.49,45.65,47.81,45.4,183735,1759426928.0,-5.37,2.68
2022-03-07,45.45,43.1,45.45,42.85,160917,1460798800.0,-5.59,2.34
2022-03-08,43.13,42.95,44.32,41.54,166742,1493215872.0,-0.35,2.43
2022-03-09,43.2,42.18,43.49,39.91,157720,1365027280.0,-1.79,2.3
2022-03-10,46.14,46.56,46.56,44.81,138620,1319342480.0,10.38,2.02
2022-03-11,46.3,47.86,48.15,45.66,290796,2823083792.0,2.79,4.24
2022-03-14,46.7,46.28,47.4,46.25,138981,1343193616.0,-3.3,2.02
2022-03-15,46.26,46.45,49.08,45.4,196263,1919405744.0,0.37,2.86
2022-03-16,48.14,48.96,49.4,46.79,241016,2398390192.0,5.4,3.51
2022-03-17,50.9,50.83,52.63,49.9,261227,2765530400.0,3.82,3.81
